"Entity","Labels"
"e_1011","cat_1000;cat_1002;cat_1003;cat_1004;cat_1005;cat_1010;cat_1011;cat_1012;cat_1015;cat_1017;cat_1018;cat_1019;cat_1020;cat_1023;cat_1025;cat_1027;cat_1028;cat_1029;cat_1033;cat_1034;cat_1037;cat_1038;cat_1040;cat_1041;cat_1044;cat_1046;cat_1047;cat_1050"
"e_1012","cat_1000;cat_1001;cat_1002;cat_1003;cat_1005;cat_1006;cat_1009;cat_1010;cat_1011;cat_1012;cat_1013;cat_1014;cat_1017;cat_1019;cat_1020;cat_1022;cat_1024;cat_1025;cat_1026;cat_1028;cat_1030;cat_1032;cat_1033;cat_1036;cat_1039;cat_1043;cat_1044;cat_1045;cat_1047"
"e_1013","cat_1000;cat_1002;cat_1004;cat_1006;cat_1007;cat_1008;cat_1014;cat_1015;cat_1016;cat_1017;cat_1023;cat_1024;cat_1025;cat_1027;cat_1028;cat_1029;cat_1030;cat_1031;cat_1033;cat_1037;cat_1038;cat_1043;cat_1044;cat_1045;cat_1046;cat_1047;cat_1048;cat_1049"
"e_1014","cat_1000;cat_1003;cat_1004;cat_1007;cat_1008;cat_1010;cat_1011;cat_1016;cat_1018;cat_1022;cat_1023;cat_1024;cat_1025;cat_1027;cat_1029;cat_1032;cat_1033;cat_1034;cat_1035;cat_1037;cat_1043;cat_1044;cat_1048;cat_1050"
"e_1015","cat_1000;cat_1001;cat_1002;cat_1003;cat_1007;cat_1008;cat_1010;cat_1011;cat_1012;cat_1016;cat_1020;cat_1023;cat_1025;cat_1026;cat_1028;cat_1030;cat_1033;cat_1035;cat_1037;cat_1040;cat_1041;cat_1044;cat_1045;cat_1048;cat_1050"
"e_1016","cat_1000;cat_1005;cat_1006;cat_1007;cat_1008;cat_1009;cat_1012;cat_1013;cat_1014;cat_1017;cat_1018;cat_1019;cat_1020;cat_1021;cat_1022;cat_1023;cat_1024;cat_1025;cat_1026;cat_1029;cat_1030;cat_1031;cat_1033;cat_1034;cat_1040;cat_1046;cat_1048;cat_1050"
"e_1017","cat_1000;cat_1001;cat_1004;cat_1006;cat_1009;cat_1010;cat_1016;cat_1017;cat_1019;cat_1021;cat_1023;cat_1025;cat_1030;cat_1034;cat_1035;cat_1039;cat_1040;cat_1041;cat_1042;cat_1043;cat_1048"
"e_1018","cat_1001;cat_1002;cat_1006;cat_1007;cat_1008;cat_1009;cat_1010;cat_1016;cat_1019;cat_1020;cat_1021;cat_1022;cat_1024;cat_1027;cat_1028;cat_1030;cat_1031;cat_1032;cat_1034;cat_1038;cat_1042;cat_1045;cat_1049"
"e_1019","cat_1004;cat_1006;cat_1008;cat_1009;cat_1012;cat_1015;cat_1018;cat_1019;cat_1021;cat_1023;cat_1025;cat_1027;cat_1028;cat_1029;cat_1030;cat_1031;cat_1032;cat_1033;cat_1034;cat_1035;cat_1036;cat_1037;cat_1041;cat_1046;cat_1047;cat_1050"
"e_1020","cat_1011;cat_1014;cat_1018;cat_1021;cat_1022;cat_1023;cat_1026;cat_1027;cat_1034;cat_1036;cat_1037;cat_1042;cat_1044;cat_1046;cat_1047;cat_1048;cat_1050"
"e_1021","cat_1000;cat_1001;cat_1003;cat_1004;cat_1005;cat_1006;cat_1007;cat_1008;cat_1011;cat_1016;cat_1017;cat_1018;cat_1019;cat_1022;cat_1023;cat_1024;cat_1025;cat_1027;cat_1028;cat_1029;cat_1032;cat_1033;cat_1034;cat_1035;cat_1036;cat_1037;cat_1038;cat_1039;cat_1040;cat_1043;cat_1044;cat_1045;cat_1046;cat_1047;cat_1048;cat_1050"
"e_1022","cat_1000;cat_1002;cat_1003;cat_1007;cat_1008;cat_1009;cat_1010;cat_1011;cat_1013;cat_1014;cat_1017;cat_1018;cat_1020;cat_1022;cat_1026;cat_1027;cat_1028;cat_1029;cat_1031;cat_1034;cat_1036;cat_1037;cat_1041;cat_1043;cat_1046;cat_1047;cat_1050"
"e_1023","cat_1001;cat_1005;cat_1008;cat_1012;cat_1013;cat_1015;cat_1017;cat_1018;cat_1019;cat_1021;cat_1022;cat_1023;cat_1024;cat_1025;cat_1027;cat_1028;cat_1029;cat_1031;cat_1034;cat_1036;cat_1037;cat_1039;cat_1044;cat_1045;cat_1046;cat_1048;cat_1050"
"e_1024","cat_1006;cat_1007;cat_1010;cat_1011;cat_1012;cat_1014;cat_1015;cat_1016;cat_1017;cat_1018;cat_1019;cat_1021;cat_1022;cat_1025;cat_1026;cat_1031;cat_1034;cat_1036;cat_1037;cat_1038;cat_1041;cat_1042;cat_1043;cat_1044;cat_1046;cat_1049"
"e_1025","cat_1000;cat_1006;cat_1007;cat_1008;cat_1010;cat_1011;cat_1013;cat_1015;cat_1017;cat_1019;cat_1020;cat_1021;cat_1025;cat_1027;cat_1028;cat_1029;cat_1031;cat_1036;cat_1037;cat_1040;cat_1041;cat_1045;cat_1046;cat_1047;cat_1048"
"e_1026","cat_1000;cat_1001;cat_1003;cat_1004;cat_1011;cat_1013;cat_1014;cat_1015;cat_1017;cat_1021;cat_1022;cat_1023;cat_1024;cat_1025;cat_1026;cat_1029;cat_1030;cat_1031;cat_1033;cat_1034;cat_1035;cat_1036;cat_1039;cat_1040;cat_1042;cat_1043;cat_1044;cat_1045;cat_1046;cat_1047"
"e_1027","cat_1000;cat_1001;cat_1002;cat_1004;cat_1006;cat_1007;cat_1011;cat_1013;cat_1016;cat_1017;cat_1019;cat_1020;cat_1022;cat_1023;cat_1024;cat_1025;cat_1027;cat_1029;cat_1030;cat_1031;cat_1032;cat_1040;cat_1044;cat_1045;cat_1046;cat_1047;cat_1048;cat_1049"
"e_1028","cat_1000;cat_1001;cat_1006;cat_1007;cat_1009;cat_1010;cat_1011;cat_1013;cat_1014;cat_1015;cat_1016;cat_1017;cat_1018;cat_1019;cat_1020;cat_1021;cat_1022;cat_1025;cat_1026;cat_1027;cat_1028;cat_1029;cat_1032;cat_1033;cat_1034;cat_1036;cat_1038;cat_1040;cat_1041;cat_1042;cat_1044;cat_1045;cat_1046;cat_1048;cat_1050"
"e_1029","cat_1000;cat_1001;cat_1002;cat_1003;cat_1009;cat_1012;cat_1013;cat_1015;cat_1017;cat_1018;cat_1019;cat_1020;cat_1022;cat_1024;cat_1025;cat_1026;cat_1028;cat_1029;cat_1030;cat_1031;cat_1032;cat_1035;cat_1036;cat_1037;cat_1039;cat_1040;cat_1041;cat_1042;cat_1045;cat_1050"
"e_1030","cat_1000;cat_1001;cat_1002;cat_1011;cat_1012;cat_1017;cat_1018;cat_1021;cat_1023;cat_1024;cat_1026;cat_1027;cat_1031;cat_1034;cat_1036;cat_1037;cat_1038;cat_1039;cat_1040;cat_1042;cat_1043;cat_1045;cat_1047"
"e_1031","cat_1002;cat_1004;cat_1005;cat_1007;cat_1015;cat_1016;cat_1017;cat_1018;cat_1020;cat_1023;cat_1024;cat_1025;cat_1029;cat_1032;cat_1035;cat_1036;cat_1037;cat_1040;cat_1041;cat_1042;cat_1047;cat_1048;cat_1049;cat_1050"
"e_1032","cat_1005;cat_1006;cat_1009;cat_1010;cat_1013;cat_1014;cat_1016;cat_1017;cat_1018;cat_1021;cat_1022;cat_1023;cat_1024;cat_1026;cat_1027;cat_1028;cat_1030;cat_1032;cat_1033;cat_1034;cat_1035;cat_1041;cat_1043;cat_1044"
"e_1033","cat_1000;cat_1001;cat_1002;cat_1003;cat_1005;cat_1007;cat_1008;cat_1011;cat_1012;cat_1013;cat_1020;cat_1022;cat_1023;cat_1026;cat_1030;cat_1031;cat_1033;cat_1035;cat_1037;cat_1038;cat_1041;cat_1043"
"e_1034","cat_1008;cat_1010;cat_1011;cat_1012;cat_1013;cat_1016;cat_1018;cat_1020;cat_1023;cat_1025;cat_1027;cat_1035;cat_1037;cat_1039;cat_1044;cat_1045;cat_1048;cat_1050"
"e_1035","cat_1001;cat_1002;cat_1003;cat_1004;cat_1005;cat_1011;cat_1013;cat_1014;cat_1015;cat_1017;cat_1020;cat_1022;cat_1023;cat_1024;cat_1025;cat_1027;cat_1031;cat_1034;cat_1035;cat_1036;cat_1039;cat_1042;cat_1043;cat_1045;cat_1046;cat_1048;cat_1049;cat_1050"
"e_1036","cat_1000;cat_1001;cat_1007;cat_1010;cat_1011;cat_1013;cat_1015;cat_1016;cat_1020;cat_1022;cat_1023;cat_1024;cat_1025;cat_1026;cat_1027;cat_1030;cat_1031;cat_1033;cat_1034;cat_1036;cat_1037;cat_1038;cat_1041;cat_1042;cat_1044;cat_1046;cat_1050"
"e_1037","cat_1000;cat_1002;cat_1004;cat_1006;cat_1012;cat_1013;cat_1014;cat_1016;cat_1018;cat_1020;cat_1022;cat_1023;cat_1024;cat_1026;cat_1028;cat_1030;cat_1031;cat_1033;cat_1034;cat_1035;cat_1036;cat_1040;cat_1041;cat_1043;cat_1046;cat_1047;cat_1049;cat_1050"
"e_1038","cat_1001;cat_1004;cat_1008;cat_1009;cat_1012;cat_1013;cat_1014;cat_1018;cat_1019;cat_1025;cat_1029;cat_1031;cat_1035;cat_1036;cat_1037;cat_1039;cat_1040;cat_1043;cat_1049;cat_1050"
"e_1039","cat_1000;cat_1001;cat_1002;cat_1004;cat_1005;cat_1009;cat_1010;cat_1012;cat_1019;cat_1020;cat_1026;cat_1027;cat_1028;cat_1029;cat_1030;cat_1033;cat_1035;cat_1039;cat_1043;cat_1044;cat_1046;cat_1047;cat_1048;cat_1049"
"e_1040","cat_1000;cat_1001;cat_1002;cat_1003;cat_1004;cat_1007;cat_1009;cat_1011;cat_1015;cat_1017;cat_1019;cat_1020;cat_1021;cat_1022;cat_1026;cat_1027;cat_1028;cat_1030;cat_1031;cat_1032;cat_1033;cat_1035;cat_1036;cat_1037;cat_1042;cat_1044;cat_1045;cat_1046;cat_1047;cat_1048;cat_1049;cat_1050"
"e_1041","cat_1003;cat_1005;cat_1006;cat_1007;cat_1009;cat_1010;cat_1011;cat_1015;cat_1016;cat_1018;cat_1020;cat_1022;cat_1024;cat_1025;cat_1027;cat_1029;cat_1030;cat_1032;cat_1033;cat_1035;cat_1036;cat_1037;cat_1041;cat_1042;cat_1045"
"e_1042","cat_1000;cat_1001;cat_1003;cat_1004;cat_1005;cat_1006;cat_1008;cat_1011;cat_1012;cat_1014;cat_1015;cat_1016;cat_1017;cat_1018;cat_1019;cat_1021;cat_1022;cat_1023;cat_1025;cat_1028;cat_1029;cat_1030;cat_1031;cat_1034;cat_1035;cat_1037;cat_1038;cat_1044;cat_1045;cat_1047"
"e_1043","cat_1000;cat_1002;cat_1003;cat_1007;cat_1008;cat_1009;cat_1011;cat_1016;cat_1017;cat_1021;cat_1023;cat_1025;cat_1031;cat_1032;cat_1033;cat_1037;cat_1045;cat_1046;cat_1047;cat_1048;cat_1050"
"e_1044","cat_1000;cat_1002;cat_1006;cat_1008;cat_1009;cat_1013;cat_1017;cat_1019;cat_1021;cat_1024;cat_1025;cat_1027;cat_1028;cat_1029;cat_1034;cat_1036;cat_1038;cat_1039;cat_1042;cat_1043;cat_1044;cat_1046;cat_1049"
"e_1045","cat_1001;cat_1002;cat_1003;cat_1005;cat_1007;cat_1008;cat_1009;cat_1010;cat_1011;cat_1012;cat_1016;cat_1021;cat_1023;cat_1024;cat_1025;cat_1027;cat_1029;cat_1030;cat_1036;cat_1039;cat_1041;cat_1042;cat_1044;cat_1050"
"e_1046","cat_1000;cat_1001;cat_1005;cat_1006;cat_1009;cat_1011;cat_1012;cat_1015;cat_1020;cat_1021;cat_1022;cat_1024;cat_1026;cat_1027;cat_1029;cat_1032;cat_1040;cat_1041;cat_1044;cat_1046;cat_1048;cat_1049;cat_1050"
"e_1047","cat_1006;cat_1009;cat_1010;cat_1013;cat_1015;cat_1016;cat_1018;cat_1019;cat_1021;cat_1023;cat_1024;cat_1025;cat_1028;cat_1029;cat_1030;cat_1032;cat_1034;cat_1036;cat_1039;cat_1041;cat_1048;cat_1049;cat_1050"
"e_1048","cat_1002;cat_1003;cat_1009;cat_1010;cat_1011;cat_1012;cat_1015;cat_1016;cat_1019;cat_1020;cat_1022;cat_1023;cat_1024;cat_1028;cat_1030;cat_1031;cat_1033;cat_1035;cat_1036;cat_1037;cat_1039;cat_1042;cat_1043;cat_1045;cat_1046;cat_1047;cat_1048;cat_1050"
"e_1049","cat_1000;cat_1001;cat_1004;cat_1006;cat_1007;cat_1008;cat_1009;cat_1010;cat_1014;cat_1015;cat_1016;cat_1023;cat_1024;cat_1025;cat_1029;cat_1031;cat_1033;cat_1034;cat_1040;cat_1042;cat_1044;cat_1045;cat_1046;cat_1048;cat_1049;cat_1050"
"e_1050","cat_1001;cat_1002;cat_1006;cat_1007;cat_1008;cat_1010;cat_1011;cat_1012;cat_1019;cat_1020;cat_1021;cat_1022;cat_1026;cat_1028;cat_1029;cat_1031;cat_1033;cat_1034;cat_1036;cat_1037;cat_1038;cat_1042;cat_1043;cat_1045;cat_1046;cat_1047;cat_1048"
"e_1051","cat_1001;cat_1002;cat_1003;cat_1004;cat_1005;cat_1006;cat_1007;cat_1010;cat_1011;cat_1014;cat_1016;cat_1017;cat_1018;cat_1023;cat_1024;cat_1025;cat_1026;cat_1028;cat_1030;cat_1034;cat_1035;cat_1036;cat_1037;cat_1042;cat_1043;cat_1044;cat_1045;cat_1048;cat_1050"
"e_1052","cat_1003;cat_1004;cat_1009;cat_1010;cat_1013;cat_1017;cat_1019;cat_1021;cat_1024;cat_1025;cat_1026;cat_1027;cat_1029;cat_1030;cat_1031;cat_1032;cat_1033;cat_1034;cat_1035;cat_1036;cat_1037;cat_1038;cat_1042;cat_1044;cat_1045;cat_1046;cat_1048;cat_1049;cat_1050"
"e_1053","cat_1000;cat_1002;cat_1003;cat_1009;cat_1010;cat_1012;cat_1013;cat_1014;cat_1017;cat_1022;cat_1023;cat_1025;cat_1026;cat_1028;cat_1030;cat_1032;cat_1038;cat_1040;cat_1041;cat_1044;cat_1046;cat_1048;cat_1049;cat_1050"
"e_1054","cat_1005;cat_1006;cat_1008;cat_1010;cat_1011;cat_1012;cat_1017;cat_1018;cat_1019;cat_1020;cat_1022;cat_1024;cat_1025;cat_1028;cat_1033;cat_1034;cat_1040;cat_1042;cat_1043;cat_1045;cat_1047;cat_1049;cat_1050"
"e_1055","cat_1000;cat_1002;cat_1003;cat_1007;cat_1008;cat_1009;cat_1011;cat_1013;cat_1014;cat_1015;cat_1019;cat_1020;cat_1021;cat_1022;cat_1023;cat_1025;cat_1027;cat_1031;cat_1032;cat_1033;cat_1035;cat_1036;cat_1037;cat_1038;cat_1041;cat_1045;cat_1048;cat_1050"
"e_1056","cat_1001;cat_1002;cat_1003;cat_1004;cat_1009;cat_1010;cat_1011;cat_1014;cat_1015;cat_1016;cat_1019;cat_1021;cat_1024;cat_1028;cat_1031;cat_1032;cat_1033;cat_1035;cat_1036;cat_1039;cat_1041;cat_1042;cat_1043;cat_1045;cat_1046;cat_1047;cat_1049"
"e_1057","cat_1000;cat_1001;cat_1002;cat_1003;cat_1010;cat_1011;cat_1012;cat_1015;cat_1018;cat_1019;cat_1020;cat_1021;cat_1023;cat_1024;cat_1026;cat_1027;cat_1028;cat_1030;cat_1031;cat_1034;cat_1036;cat_1037;cat_1039;cat_1040;cat_1042;cat_1043;cat_1045;cat_1047;cat_1049;cat_1050"
"e_1058","cat_1003;cat_1006;cat_1007;cat_1008;cat_1013;cat_1014;cat_1015;cat_1018;cat_1020;cat_1026;cat_1030;cat_1031;cat_1032;cat_1034;cat_1035;cat_1037;cat_1039"
"e_1059","cat_1001;cat_1002;cat_1003;cat_1004;cat_1005;cat_1006;cat_1008;cat_1011;cat_1015;cat_1016;cat_1021;cat_1022;cat_1025;cat_1026;cat_1027;cat_1028;cat_1030;cat_1032;cat_1033;cat_1035;cat_1038;cat_1040;cat_1041;cat_1043;cat_1045;cat_1047"
"e_1060","cat_1000;cat_1001;cat_1004;cat_1005;cat_1009;cat_1012;cat_1015;cat_1021;cat_1022;cat_1027;cat_1028;cat_1029;cat_1030;cat_1031;cat_1032;cat_1033;cat_1034;cat_1035;cat_1036;cat_1038;cat_1040;cat_1045;cat_1048;cat_1049;cat_1050"
"e_1061","cat_1000;cat_1001;cat_1005;cat_1006;cat_1009;cat_1012;cat_1014;cat_1017;cat_1020;cat_1022;cat_1026;cat_1030;cat_1031;cat_1034;cat_1035;cat_1036;cat_1040;cat_1041;cat_1043;cat_1044;cat_1046;cat_1048;cat_1049"
"e_1062","cat_1001;cat_1004;cat_1005;cat_1011;cat_1014;cat_1016;cat_1018;cat_1019;cat_1021;cat_1024;cat_1026;cat_1027;cat_1029;cat_1031;cat_1032;cat_1033;cat_1034;cat_1035;cat_1038;cat_1040;cat_1042;cat_1044;cat_1045;cat_1046;cat_1047"
"e_1063","cat_1001;cat_1003;cat_1005;cat_1007;cat_1011;cat_1013;cat_1014;cat_1016;cat_1021;cat_1022;cat_1023;cat_1024;cat_1025;cat_1027;cat_1028;cat_1030;cat_1033;cat_1037;cat_1041;cat_1043;cat_1047;cat_1048"
"e_1064","cat_1000;cat_1003;cat_1004;cat_1005;cat_1006;cat_1007;cat_1009;cat_1010;cat_1013;cat_1014;cat_1018;cat_1019;cat_1027;cat_1031;cat_1032;cat_1034;cat_1035;cat_1036;cat_1038;cat_1039;cat_1042;cat_1044;cat_1045;cat_1046;cat_1049"
"e_1065","cat_1001;cat_1002;cat_1003;cat_1005;cat_1006;cat_1008;cat_1009;cat_1010;cat_1011;cat_1016;cat_1018;cat_1020;cat_1021;cat_1022;cat_1024;cat_1027;cat_1028;cat_1033;cat_1034;cat_1036;cat_1039;cat_1043;cat_1045;cat_1046;cat_1050"
"e_1066","cat_1001;cat_1005;cat_1006;cat_1007;cat_1008;cat_1009;cat_1010;cat_1011;cat_1012;cat_1013;cat_1014;cat_1015;cat_1018;cat_1019;cat_1020;cat_1022;cat_1025;cat_1028;cat_1029;cat_1030;cat_1031;cat_1032;cat_1033;cat_1034;cat_1035;cat_1037;cat_1039;cat_1042;cat_1044;cat_1045;cat_1047"
"e_1067","cat_1003;cat_1004;cat_1006;cat_1009;cat_1010;cat_1011;cat_1015;cat_1016;cat_1018;cat_1020;cat_1023;cat_1025;cat_1029;cat_1033;cat_1034;cat_1038;cat_1041;cat_1042;cat_1045;cat_1046;cat_1049"
"e_1068","cat_1001;cat_1002;cat_1004;cat_1005;cat_1007;cat_1009;cat_1010;cat_1014;cat_1015;cat_1018;cat_1020;cat_1021;cat_1022;cat_1024;cat_1025;cat_1028;cat_1029;cat_1031;cat_1033;cat_1034;cat_1037;cat_1040;cat_1043;cat_1044;cat_1047;cat_1048;cat_1049"
"e_1069","cat_1001;cat_1002;cat_1004;cat_1005;cat_1006;cat_1009;cat_1012;cat_1015;cat_1016;cat_1017;cat_1018;cat_1019;cat_1020;cat_1021;cat_1023;cat_1025;cat_1026;cat_1027;cat_1028;cat_1029;cat_1033;cat_1035;cat_1037;cat_1038;cat_1039;cat_1040;cat_1043;cat_1046;cat_1050"
"e_1070","cat_1002;cat_1003;cat_1004;cat_1008;cat_1009;cat_1012;cat_1020;cat_1021;cat_1022;cat_1023;cat_1025;cat_1026;cat_1027;cat_1028;cat_1029;cat_1030;cat_1033;cat_1034;cat_1035;cat_1036;cat_1037;cat_1039;cat_1043;cat_1045;cat_1049;cat_1050"
"e_1071","cat_1002;cat_1003;cat_1008;cat_1009;cat_1010;cat_1013;cat_1015;cat_1016;cat_1017;cat_1019;cat_1021;cat_1023;cat_1024;cat_1027;cat_1029;cat_1030;cat_1033;cat_1034;cat_1035;cat_1038;cat_1039;cat_1044;cat_1045;cat_1046;cat_1047;cat_1049"
"e_1072","cat_1003;cat_1004;cat_1006;cat_1007;cat_1009;cat_1010;cat_1011;cat_1015;cat_1016;cat_1019;cat_1021;cat_1022;cat_1024;cat_1025;cat_1026;cat_1030;cat_1032;cat_1039;cat_1043;cat_1046;cat_1049"
"e_1073","cat_1002;cat_1005;cat_1006;cat_1010;cat_1015;cat_1018;cat_1020;cat_1021;cat_1025;cat_1027;cat_1032;cat_1034;cat_1035;cat_1039;cat_1040;cat_1042;cat_1043;cat_1046;cat_1047;cat_1049"
"e_1074","cat_1000;cat_1001;cat_1002;cat_1003;cat_1006;cat_1007;cat_1010;cat_1011;cat_1013;cat_1014;cat_1019;cat_1020;cat_1024;cat_1029;cat_1030;cat_1031;cat_1032;cat_1033;cat_1034;cat_1035;cat_1036;cat_1037;cat_1042;cat_1043;cat_1044;cat_1045;cat_1047;cat_1050"
"e_1075","cat_1000;cat_1003;cat_1006;cat_1011;cat_1012;cat_1013;cat_1014;cat_1015;cat_1016;cat_1017;cat_1019;cat_1020;cat_1023;cat_1024;cat_1027;cat_1029;cat_1030;cat_1033;cat_1035;cat_1036;cat_1037;cat_1038;cat_1039;cat_1042;cat_1044;cat_1045;cat_1047;cat_1048;cat_1049;cat_1050"
"e_1076","cat_1000;cat_1001;cat_1003;cat_1005;cat_1006;cat_1008;cat_1015;cat_1017;cat_1020;cat_1021;cat_1026;cat_1028;cat_1029;cat_1030;cat_1032;cat_1033;cat_1034;cat_1038;cat_1039;cat_1041;cat_1043;cat_1044;cat_1045;cat_1047;cat_1050"
"e_1077","cat_1001;cat_1003;cat_1004;cat_1005;cat_1006;cat_1008;cat_1012;cat_1013;cat_1019;cat_1020;cat_1021;cat_1024;cat_1026;cat_1033;cat_1035;cat_1036;cat_1039;cat_1040;cat_1042;cat_1043;cat_1045;cat_1050"
"e_1078","cat_1003;cat_1004;cat_1005;cat_1006;cat_1009;cat_1012;cat_1014;cat_1015;cat_1017;cat_1020;cat_1021;cat_1022;cat_1024;cat_1025;cat_1027;cat_1030;cat_1033;cat_1034;cat_1035;cat_1036;cat_1037;cat_1038;cat_1040;cat_1042;cat_1043;cat_1046;cat_1050"
"e_1079","cat_1000;cat_1001;cat_1002;cat_1004;cat_1005;cat_1006;cat_1007;cat_1008;cat_1012;cat_1016;cat_1025;cat_1026;cat_1027;cat_1031;cat_1040;cat_1041;cat_1042;cat_1044;cat_1045;cat_1050"
"e_1080","cat_1002;cat_1004;cat_1005;cat_1006;cat_1009;cat_1010;cat_1012;cat_1013;cat_1016;cat_1017;cat_1018;cat_1019;cat_1021;cat_1022;cat_1023;cat_1032;cat_1033;cat_1038;cat_1040;cat_1041;cat_1042;cat_1043;cat_1046;cat_1050"
"e_1081","cat_1000;cat_1001;cat_1002;cat_1003;cat_1004;cat_1005;cat_1008;cat_1009;cat_1010;cat_1013;cat_1015;cat_1016;cat_1017;cat_1020;cat_1021;cat_1025;cat_1026;cat_1028;cat_1029;cat_1031;cat_1033;cat_1034;cat_1035;cat_1036;cat_1039;cat_1042;cat_1050"
"e_1082","cat_1000;cat_1003;cat_1004;cat_1006;cat_1007;cat_1008;cat_1011;cat_1015;cat_1016;cat_1018;cat_1020;cat_1021;cat_1024;cat_1025;cat_1028;cat_1032;cat_1033;cat_1035;cat_1037;cat_1038;cat_1041;cat_1042;cat_1045;cat_1046;cat_1049"
"e_1083","cat_1000;cat_1001;cat_1005;cat_1006;cat_1009;cat_1010;cat_1011;cat_1013;cat_1014;cat_1017;cat_1024;cat_1025;cat_1026;cat_1027;cat_1029;cat_1031;cat_1033;cat_1034;cat_1037;cat_1038;cat_1039;cat_1046;cat_1047;cat_1048;cat_1049;cat_1050"
"e_1084","cat_1000;cat_1002;cat_1003;cat_1004;cat_1005;cat_1006;cat_1007;cat_1008;cat_1009;cat_1011;cat_1012;cat_1016;cat_1021;cat_1023;cat_1024;cat_1026;cat_1028;cat_1029;cat_1035;cat_1036;cat_1040;cat_1041;cat_1042;cat_1043;cat_1044;cat_1045;cat_1048;cat_1050"
"e_1085","cat_1001;cat_1003;cat_1007;cat_1011;cat_1015;cat_1020;cat_1021;cat_1022;cat_1024;cat_1026;cat_1027;cat_1029;cat_1030;cat_1032;cat_1033;cat_1036;cat_1037;cat_1038;cat_1040;cat_1041;cat_1043;cat_1045;cat_1046;cat_1047;cat_1048;cat_1049;cat_1050"
"e_1086","cat_1000;cat_1003;cat_1004;cat_1005;cat_1006;cat_1007;cat_1013;cat_1015;cat_1017;cat_1018;cat_1019;cat_1021;cat_1022;cat_1024;cat_1025;cat_1026;cat_1028;cat_1032;cat_1033;cat_1034;cat_1035;cat_1037;cat_1040;cat_1041;cat_1045;cat_1049"
